year,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,country,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,total_damages
2002,Geophysical,Earthquake,Ground movement,NA,Italy,41.789,14.872,2002,10,31,2002,10,31,30,796000
2002,Geophysical,Earthquake,Ground movement,NA,India,13.036,93.068,2002,9,13,2002,9,13,2,NA
2002,Geophysical,Earthquake,Ground movement,NA,China,30.916,99.927,2002,8,8,2002,8,8,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,China,39.736,97.443,2002,12,14,2002,12,14,2,NA
2002,Geophysical,Volcanic activity,Ash fall,NA,Ecuador,-1.467,-78.442,2002,10,2,2002,10,2,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Egypt,30.2,31.41,2002,8,24,2002,8,24,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Greece,37.747,21.087,2002,12,2,2002,12,2,NA,NA
2002,Geophysical,Volcanic activity,Ash fall,NA,Guatemala,14.473,-90.88,2002,2,13,2002,2,13,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Indonesia,-1.196,121.333,2002,8,15,2002,8,15,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Indonesia,-1.68,134.234,2002,9,20,2002,9,20,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Indonesia,2.824,96.085,2002,11,2,2002,11,2,3,NA
2002,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),28.093,51.755,2002,2,17,2002,2,17,1,NA
2002,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),34.642,47.4,2002,4,24,2002,4,24,2,NA
2002,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),35.626,49.047,2002,6,22,2002,6,22,227,300000
2002,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),34.594,47.454,2002,12,24,2002,12,24,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),31.995,49.329,2002,9,25,2002,9,25,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Italy,37.67,15.267,2002,10,29,2002,10,29,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Italy,38.381,13.701,2002,9,6,2002,9,6,2,500000
2002,Geophysical,Volcanic activity,Ash fall,NA,Mexico,19.514,-103.62,2002,2,6,2002,2,6,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,Mexico,18.77,-104.104,2003,1,22,2003,1,22,29,116300
2003,Geophysical,Earthquake,Ground movement,NA,China,39.61,77.23,2003,2,24,2003,2,24,268,157000
2003,Geophysical,Earthquake,Ground movement,NA,Indonesia,-8.807,118.524,2003,1,23,2003,1,23,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),29.59,51.474,2003,1,11,2003,1,11,NA,NA
2001,Geophysical,Earthquake,Ground movement,NA,Papua New Guinea,-6.884,146.388,2001,6,5,2001,6,5,NA,NA
2001,Geophysical,Earthquake,Tsunami,NA,Peru,-16.265,-73.641,2001,6,23,2001,6,23,145,300000
2001,Geophysical,Earthquake,Ground movement,NA,Peru,-15.35,-72.516,2001,12,4,2001,12,4,2,NA
2001,Geophysical,Earthquake,Ground movement,NA,Peru,-14.258,-72.683,2001,8,9,2001,8,9,4,NA
2001,Geophysical,Volcanic activity,Ash fall,NA,Philippines (the),13.257,123.685,2001,5,24,2001,5,24,NA,792
2001,Geophysical,Earthquake,Ground movement,NA,Turkey,37.238,36.206,2001,6,25,2001,6,25,NA,NA
2001,Geophysical,Earthquake,Ground movement,NA,Turkey,39.832,41.623,2001,7,10,2001,7,10,NA,NA
2001,Geophysical,Earthquake,Ground movement,NA,United States of America (the),47.149,-122.7266667,2001,2,28,2001,2,28,1,2000000
2001,Geophysical,Volcanic activity,Ash fall,NA,Vanuatu,-16.507,168.346,2001,6,8,2001,6,8,NA,NA
2001,Geophysical,Volcanic activity,Ash fall,NA,Congo (the Democratic Republic of the),-1.408,29.2,2001,2,5,2001,2,5,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Taiwan (Province of China),24.279,122.179,2002,3,31,2002,3,31,4,25000
2002,Geophysical,Volcanic activity,Ash fall,NA,Congo (the Democratic Republic of the),-1.52,29.25,2002,1,17,2002,1,21,200,9000
2002,Geophysical,Earthquake,Ground movement,NA,Pakistan,35.517,74.654,2002,11,2,2002,11,2,17,NA
2002,Geophysical,Earthquake,Ground movement,NA,Pakistan,35.414,74.515,2002,11,20,2002,11,20,19,NA
2002,Geophysical,Earthquake,Ground movement,NA,Vanuatu,-17.6,167.856,2002,1,3,2002,1,3,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Vanuatu,-14.49,167.827,2002,11,27,2002,11,27,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Philippines (the),6.033,124.249,2002,3,5,2002,3,5,15,1714
2002,Geophysical,Earthquake,Ground movement,NA,Papua New Guinea,-3.302,142.945,2002,9,8,2002,9,8,4,NA
2002,Geophysical,Earthquake,Ground movement,NA,Pakistan,36.429,70.438,2002,3,3,2002,3,3,3,NA
2002,Geophysical,Earthquake,Ground movement,NA,Papua New Guinea,-3.212,142.427,2002,1,10,2002,1,10,1,NA
2002,Geophysical,Earthquake,Ground movement,NA,Rwanda,-1.684,29.077,2002,1,17,2002,1,17,45,NA
2002,Geophysical,Earthquake,Ground movement,NA,Serbia Montenegro,42.436,21.466,2002,4,24,2002,4,24,1,NA
2002,Geophysical,Earthquake,Ground movement,NA,Tajikistan,38.673,69.902,2002,1,9,2002,1,9,3,NA
2002,Geophysical,Earthquake,Ground movement,NA,Tajikistan,36.429,70.438,2002,3,3,2002,3,3,NA,NA
2002,Geophysical,Earthquake,Ground movement,NA,Turkey,38.573,31.271,2002,2,3,2002,2,3,42,95000
2002,Geophysical,Earthquake,Ground movement,NA,"Tanzania, United Republic of",-2.907,33.733,2002,5,18,2002,5,18,2,NA
2003,Geophysical,Earthquake,Ground movement,NA,Afghanistan,35.893,70.62,2003,4,10,2003,4,10,1,NA
2003,Geophysical,Earthquake,Ground movement,NA,Turkey,39.5,39.878,2003,1,27,2003,1,27,1,NA
2004,Geophysical,Earthquake,Ground movement,NA,Afghanistan,33.426,69.524,2004,7,18,2004,7,18,2,NA
2004,Geophysical,Earthquake,Ground movement,NA,Burundi,-3.393,29.558,2004,2,24,2004,2,24,3,NA
2003,Geophysical,Earthquake,Ground movement,NA,Japan,38.849,141.568,2003,5,26,2003,5,26,NA,233000
2003,Geophysical,Earthquake,Ground movement,NA,Japan,41.774,143.593,2003,9,25,2003,9,25,2,563000
2003,Geophysical,Earthquake,Ground movement,NA,Bangladesh,22.854,92.306,2003,7,26,2003,7,26,2,NA
2003,Geophysical,Earthquake,Ground movement,NA,China,25.975,101.29,2003,7,21,2003,7,21,16,75000
2003,Geophysical,Earthquake,Ground movement,NA,Dominican Republic (the),19.777,-70.673,2003,9,22,2003,9,22,3,NA
2003,Geophysical,Earthquake,Ground movement,NA,Greece,39.16,20.605,2003,8,14,2003,8,14,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,Italy,44.792,8.892,2003,4,11,2003,4,11,NA,561352
2003,Geophysical,Earthquake,Ground movement,NA,Japan,38.432,141.003,2003,7,25,2003,7,25,NA,411000
2003,Geophysical,Earthquake,Ground movement,NA,Algeria,36.964,3.634,2003,5,21,2003,5,21,2266,5000000
2003,Geophysical,Volcanic activity,Ash fall,NA,Ecuador,-1.467,-78.442,2003,6,5,2003,7,5,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,China,37.529,96.476,2003,4,17,2003,4,17,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,China,39.43,77.219,2003,5,4,2003,5,4,1,NA
2003,Geophysical,Earthquake,Ground movement,NA,China,43.77,119.643,2003,8,16,2003,8,16,4,167000
2003,Geophysical,Earthquake,Ground movement,NA,China,25.954,101.254,2003,10,16,2003,10,16,3,60000
2003,Geophysical,Earthquake,Ground movement,NA,China,38.383,100.975,2003,10,25,2003,10,25,9,40000
2003,Geophysical,Earthquake,Ground movement,NA,China,34.712,103.834,2003,11,13,2003,11,13,1,NA
2003,Geophysical,Earthquake,Ground movement,NA,China,27.372,103.971,2003,11,14,2003,11,14,4,NA
2003,Geophysical,Earthquake,Ground movement,NA,China,42.905,80.515,2003,12,1,2003,12,1,11,1933
2003,Geophysical,Earthquake,Ground movement,NA,China,27.283,103.753,2003,11,26,2003,11,26,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,Costa Rica,8.416,-82.824,2003,12,25,2003,12,25,2,NA
2003,Geophysical,Earthquake,Ground movement,NA,Algeria,36.939,3.578,2003,5,27,2003,5,27,9,NA
2003,Geophysical,Earthquake,Ground movement,NA,Indonesia,2.354,128.855,2003,5,27,2003,5,27,1,NA
2003,Geophysical,Earthquake,Ground movement,NA,Indonesia,1.142,128.152,2003,8,11,2003,8,11,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),35.476,60.784,2003,7,3,2003,7,3,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),28.355,54.169,2003,7,10,2003,7,10,1,21666
2003,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),28.995,58.311,2003,12,26,2003,12,26,26796,500000
2003,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),31.953,49.209,2003,12,11,2003,12,11,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,Kazakhstan,42.946,72.764,2003,5,23,2003,5,23,3,NA
2004,Geophysical,Earthquake,Ground movement,NA,Japan,37.226,138.779,2004,10,23,2004,10,23,40,28000000
2004,Geophysical,Earthquake,Ground movement,NA,Indonesia,-3.615,135.538,2004,2,5,2004,2,5,37,1000
2004,Geophysical,Earthquake,Ground movement,NA,Indonesia,-3.609,135.404,2004,11,26,2004,11,26,32,55000
2004,Geophysical,Earthquake,Ground movement,NA,Costa Rica,9.602,-84.172,2004,11,20,2004,11,20,8,NA
2004,Geophysical,Earthquake,Ground movement,NA,Indonesia,-8.152,124.868,2004,11,11,2004,11,11,33,NA
2004,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),36.29,51.61,2004,5,28,2004,5,28,35,165000
2004,Geophysical,Earthquake,Tsunami,NA,Indonesia,3.295,95.982,2004,12,26,2004,12,26,165708,4451600
2004,Geophysical,Earthquake,Tsunami,NA,Kenya,3.295,95.982,2004,12,26,2004,12,26,1,100000
2004,Geophysical,Earthquake,Tsunami,NA,Bangladesh,3.295,95.982,2004,12,26,2004,12,26,2,500000
2004,Geophysical,Earthquake,Ground movement,NA,China,45.382,118.256,2004,3,24,2004,3,24,NA,74000
2004,Geophysical,Earthquake,Ground movement,NA,China,27.266,103.873,2004,8,10,2004,8,10,4,50000
2004,Geophysical,Earthquake,Ground movement,NA,China,25.073,99.169,2004,10,18,2004,10,18,NA,NA
2004,Geophysical,Earthquake,Ground movement,NA,China,34.682,103.781,2004,9,7,2004,9,7,NA,NA
2004,Geophysical,Earthquake,Ground movement,NA,China,37.506,96.758,2004,5,4,2004,5,4,NA,NA
2004,Geophysical,Earthquake,Ground movement,NA,Colombia,2.265,-76.595,2004,8,18,2004,8,18,1,NA
2004,Geophysical,Earthquake,Ground movement,NA,Colombia,4.695,-77.508,2004,11,15,2004,11,15,NA,NA
2004,Geophysical,Earthquake,Ground movement,NA,Germany,48.115,8.077,2004,12,5,2004,12,5,NA,12000
2004,Geophysical,Earthquake,Ground movement,NA,Dominica,15.679,-61.706,2004,11,21,2004,11,21,NA,NA
2004,Geophysical,Earthquake,Ground movement,NA,Algeria,36.852,3.418,2004,1,10,2004,1,10,NA,NA
2004,Geophysical,Earthquake,Ground movement,NA,Algeria,36.848,3.448,2004,12,1,2004,12,1,NA,NA
2004,Geophysical,Earthquake,Ground movement,NA,Guadeloupe,15.679,-61.706,2004,11,21,2004,11,21,1,NA
2004,Geophysical,Earthquake,Ground movement,NA,Indonesia,-8.31,115.788,2004,1,1,2004,1,1,1,12000
2004,Geophysical,Earthquake,Ground movement,NA,Indonesia,-0.466,100.655,2004,2,16,2004,2,16,5,NA
2004,Geophysical,Earthquake,Tsunami,NA,India,3.295,95.982,2004,12,26,2004,12,26,16389,1022800
2004,Geophysical,Earthquake,Tsunami,NA,Sri Lanka,3.295,95.982,2004,12,26,2004,12,26,35399,1316500
2005,Geophysical,Earthquake,Ground movement,NA,Japan,33.807,130.131,2005,3,20,2005,3,20,1,400000
2005,Geophysical,Earthquake,Ground movement,NA,Japan,33.637,130.179,2005,4,19,2005,4,19,NA,NA
2005,Geophysical,Earthquake,Ground movement,NA,Indonesia,2.085,97.108,2005,3,28,2005,3,28,915,NA
2005,Geophysical,Earthquake,Ground movement,NA,Indonesia,-1.198,119.933,2005,1,23,2005,1,23,1,NA
2005,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),37.103,54.574,2005,1,10,2005,1,10,NA,NA
2005,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),30.754,56.816,2005,2,22,2005,2,22,612,80000
2003,Geophysical,Earthquake,Ground movement,NA,Russian Federation (the),50.038,87.813,2003,9,27,2003,9,27,3,10600
2003,Geophysical,Earthquake,Ground movement,NA,Panama,9.355,-79.941,2003,8,13,2003,8,13,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,Panama,8.416,-82.824,2003,12,25,2003,12,25,2,NA
2003,Geophysical,Earthquake,Ground movement,NA,Turkey,39.007,40.464,2003,5,1,2003,5,1,177,135000
2003,Geophysical,Earthquake,Ground movement,NA,Turkey,38.111,28.887,2003,7,26,2003,7,26,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,Turkey,38.221,26.958,2003,4,10,2003,4,10,NA,NA
2003,Geophysical,Earthquake,Ground movement,NA,United States of America (the),35.7005,-121.1005,2003,12,22,2003,12,22,2,200000
2004,Geophysical,Earthquake,Ground movement,NA,Pakistan,34.774,73.216,2004,2,14,2004,2,14,24,NA
2004,Geophysical,Earthquake,Ground movement,NA,Slovenia,46.296,13.641,2004,7,12,2004,7,12,1,10000
2004,Geophysical,Earthquake,Ground movement,NA,Tajikistan,39.57,67.479,2004,4,1,2004,4,1,NA,NA
2004,Geophysical,Earthquake,Ground movement,NA,Turkey,39.847,40.874,2004,3,28,2004,3,28,NA,NA
2004,Geophysical,Earthquake,Tsunami,NA,Maldives,3.295,95.982,2004,12,26,2004,12,26,102,470100
2004,Geophysical,Earthquake,Tsunami,NA,Malaysia,3.295,95.982,2004,12,26,2004,12,26,80,500000
2004,Geophysical,Earthquake,Tsunami,NA,Thailand,3.295,95.982,2004,12,26,2004,12,26,8345,1000000
2004,Geophysical,Earthquake,Ground movement,NA,Morocco,35.142,-3.997,2004,2,24,2004,2,24,628,400000
2004,Geophysical,Earthquake,Tsunami,NA,Myanmar,3.295,95.982,2004,12,26,2004,12,26,71,500000
2004,Geophysical,Earthquake,Ground movement,NA,Russian Federation (the),47.311,142.12,2004,5,31,2004,5,31,NA,NA
2004,Geophysical,Earthquake,Tsunami,NA,Somalia,3.295,95.982,2004,12,26,2004,12,26,298,100000
2004,Geophysical,Earthquake,Tsunami,NA,Seychelles,3.295,95.982,2004,12,26,2004,12,26,3,30000
2004,Geophysical,Earthquake,Ground movement,NA,Turkey,39.93,40.812,2004,3,25,2004,3,25,9,NA
2004,Geophysical,Earthquake,Ground movement,NA,Turkey,39.766,43.979,2004,7,1,2004,7,1,18,NA
2004,Geophysical,Earthquake,Tsunami,NA,"Tanzania, United Republic of",3.295,95.982,2004,12,26,2004,12,26,10,NA
2005,Geophysical,Earthquake,Ground movement,NA,Turkey,37.622,43.703,2005,1,25,2005,1,25,2,NA
2005,Geophysical,Earthquake,Ground movement,NA,Turkey,39.354,40.89,2005,3,14,2005,3,14,NA,NA
2005,Geophysical,Earthquake,Ground movement,NA,South Africa,-26.913,26.789,2005,3,9,2005,3,9,2,20000
2005,Geophysical,Earthquake,Ground movement,NA,Afghanistan,34.539,73.588,2005,10,8,2005,10,8,1,50
2005,Geophysical,Earthquake,Ground movement,NA,Afghanistan,36.357,71.093,2005,12,13,2005,12,13,5,NA
2006,Geophysical,Earthquake,Ground movement,NA,Afghanistan,37.255,68.828,2006,7,29,2006,7,29,1,NA
2006,Hydrological,Flood,Flash flood,NA,Afghanistan,35.67,66.83,2006,4,28,2006,5,1,19,NA
2006,Hydrological,Flood,Flash flood,NA,Afghanistan,35.62,63.54,2006,11,16,2006,11,20,166,NA
2006,Hydrological,Flood,Riverine flood,NA,Afghanistan,34.52,65.56,2006,5,19,2006,5,23,21,NA
2005,Geophysical,Earthquake,Ground movement,NA,India,34.539,73.588,2005,10,8,2005,10,8,1309,1000000
2005,Geophysical,Earthquake,Ground movement,NA,Chile,-19.987,-69.197,2005,6,13,2005,6,13,11,5000
2005,Geophysical,Earthquake,Ground movement,NA,China,29.671,115.688,2005,11,26,2005,11,26,16,NA
2005,Geophysical,Earthquake,Ground movement,NA,China,26.569,103.036,2005,8,5,2005,8,5,NA,NA
2005,Geophysical,Volcanic activity,Ash fall,NA,Colombia,1.22,-77.37,2005,11,24,2005,11,24,NA,NA
2005,Geophysical,Volcanic activity,Ash fall,NA,Ethiopia,12.623,40.46,2005,9,NA,2005,10,NA,NA,NA
2005,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),26.774,55.858,2005,11,27,2005,11,27,13,NA
2005,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),27.095,61.887,2005,3,13,2005,3,13,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,China,34.04,117.03,2006,6,28,2006,7,6,30,679000
2006,Meteorological,Storm,Tropical cyclone,NA,China,25.97,118.77,2006,5,18,2006,5,22,23,475000
2006,Meteorological,Storm,Tropical cyclone,NA,China,26.39,117.28,2006,7,24,2006,7,28,109,367000
2006,Hydrological,Flood,Riverine flood,NA,Chile,-72.64,-37.26,2006,7,11,2006,7,17,18,NA
2006,Hydrological,Flood,Riverine flood,NA,Colombia,5.43,-75.6,2006,1,1,2006,4,27,150,NA
2006,Hydrological,Flood,Riverine flood,NA,Greece,40.76,23.65,2006,10,8,2006,10,12,1,5659
2006,Meteorological,Storm,Tropical cyclone,NA,China,24,112.11,2006,7,16,2006,7,19,820,3325000
2006,Hydrological,Flood,Riverine flood,NA,Bolivia (Plurinational State of),-16.03,-63.43,2006,1,25,2006,4,17,25,35000
2006,Geophysical,Earthquake,Ground movement,NA,China,28.012,104.151,2006,8,25,2006,8,25,1,NA
2006,Hydrological,Flood,Riverine flood,NA,China,23.42,111.38,2006,6,8,2006,6,15,21,NA
2006,Hydrological,Flood,Riverine flood,NA,China,27.06,111.06,2006,6,25,2006,6,26,29,NA
2006,Hydrological,Flood,Riverine flood,NA,China,43.32,83.77,2006,7,2,2006,7,5,20,NA
2006,Hydrological,Flood,Riverine flood,NA,China,23.34,102.64,2006,10,6,2006,10,12,27,NA
2006,Meteorological,Storm,Tropical cyclone,NA,China,21.11,110.11,2006,8,3,2006,8,6,89,900000
2006,Hydrological,Flood,Riverine flood,NA,Congo (the),-4.24,15.43,2006,11,4,2006,11,18,6,NA
2006,Hydrological,Flood,Riverine flood,NA,Ecuador,-2.23,-79.98,2006,2,16,2006,5,6,16,2800
2006,Hydrological,Flood,Riverine flood,NA,Fiji,-16.45,179.65,2006,2,4,2006,2,9,4,500
2006,Geophysical,Earthquake,Ground movement,NA,Indonesia,0.626,99.859,2006,12,17,2006,12,17,8,NA
2006,Hydrological,Flood,Flash flood,NA,Indonesia,1.07,124.66,2006,2,13,2006,2,23,39,25000
2006,Hydrological,Flood,Flash flood,NA,Indonesia,-5.17,120.11,2006,6,19,2006,6,23,236,55200
2006,Hydrological,Flood,Flash flood,NA,Indonesia,-3.29,115.49,2006,6,25,2006,6,29,52,NA
2006,Hydrological,Flood,Riverine flood,NA,Indonesia,-6.85,108.59,2006,1,26,2006,2,14,19,27100
2006,Hydrological,Flood,Riverine flood,NA,Indonesia,-7.84,111.86,2006,4,19,2006,4,23,22,NA
2006,Hydrological,Flood,Flash flood,NA,India,32.89,73.88,2006,8,31,2006,9,11,19,NA
2006,Hydrological,Flood,Riverine flood,NA,India,19.17,83.65,2006,7,3,2006,7,8,33,NA
2006,Hydrological,Flood,Riverine flood,NA,India,20.19,73.82,2006,7,28,2006,9,12,350,3390000
2006,Geophysical,Earthquake,Tsunami,NA,Indonesia,-3.595,127.214,2006,3,14,2006,3,14,3,NA
2006,Hydrological,Flood,Riverine flood,NA,Austria,49.86,16.09,2006,3,28,2006,4,17,NA,NA
2006,Hydrological,Flood,Flash flood,NA,Burkina Faso,14.42,-1.02,2006,8,3,2006,10,11,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,Canada,52.53,-82.09,2006,4,22,2006,5,31,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,China,26.75,118.57,2006,5,30,2006,6,9,57,393000
2006,Hydrological,Flood,Riverine flood,NA,Czech Republic (the),49.86,16.09,2006,3,28,2006,4,17,6,NA
2006,Hydrological,Flood,Riverine flood,NA,Germany,49.86,16.09,2006,3,28,2006,4,17,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,Georgia,42.27,42.83,2006,4,15,2006,4,24,NA,NA
2006,Meteorological,Storm,Tropical cyclone,NA,Australia,-25.68,115.13,2006,3,30,2006,4,5,NA,NA
2006,Hydrological,Flood,Flash flood,NA,China,25.51,106.51,2006,6,12,2006,6,16,50,141000
2006,Meteorological,Storm,Tropical cyclone,NA,Australia,-23.26,116.94,2006,1,9,2006,1,31,NA,2354
2006,Meteorological,Storm,Tropical cyclone,NA,Australia,-17.91,145.54,2006,3,20,2006,4,2,NA,1180000
2006,Meteorological,Storm,Tropical cyclone,NA,Bangladesh,19.73,83.75,2006,9,18,2006,10,5,115,NA
2006,Meteorological,Storm,Tropical cyclone,NA,Fiji,-17.82,177.68,2006,1,29,2006,2,6,NA,NA
2006,Meteorological,Storm,Tropical cyclone,NA,India,19.73,83.75,2006,9,18,2006,10,5,114,NA
2006,Hydrological,Flood,Riverine flood,NA,Afghanistan,33.06,69.95,2006,7,9,2006,7,13,10,NA
2006,Hydrological,Flood,Riverine flood,NA,Afghanistan,34.08,69.75,2006,7,30,2006,8,9,54,NA
2006,Hydrological,Flood,Riverine flood,NA,Australia,-14.18,132.39,2006,4,5,2006,4,10,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,Burundi,-3.86,29.67,2006,5,17,2006,5,28,1,NA
2006,Hydrological,Flood,Riverine flood,NA,Burundi,-3.14,30.4,2006,12,NA,2007,1,NA,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,Bangladesh,23.23,89.27,2006,8,24,2006,9,20,NA,NA
2006,Geophysical,Earthquake,Ground movement,NA,Bulgaria,41.708,25.544,2006,2,20,2006,2,20,NA,NA
2006,Hydrological,Flood,Flash flood,NA,Brazil,-22.56,-43.36,2006,1,27,2006,1,30,12,NA
2006,Hydrological,Flood,Riverine flood,NA,Brazil,2.81,-52.29,2006,3,25,2006,4,23,8,NA
2006,Hydrological,Flood,Riverine flood,NA,Canada,49.72,-56.05,2006,4,18,2006,4,24,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,Canada,53.54,-99.99,2006,4,12,2006,4,20,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,Canada,67.93,-99.99,2006,5,26,2006,6,2,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,Canada,50.13,-99.99,2006,5,20,2006,5,28,1,NA
2006,Hydrological,Flood,Riverine flood,NA,Switzerland,46.04,7.39,2006,7,26,2006,7,27,NA,NA
2006,Geophysical,Earthquake,Ground movement,NA,China,23.282,101.693,2006,1,12,2006,1,12,NA,6900
2006,Geophysical,Earthquake,Ground movement,NA,China,27.995,104.138,2006,7,22,2006,7,22,22,NA
2006,Geophysical,Earthquake,Ground movement,NA,China,33.068,104.95,2006,6,20,2006,6,20,NA,NA
2006,Geophysical,Earthquake,Ground movement,NA,China,31.56,113.21,2006,10,27,2006,10,27,NA,NA
2006,Geophysical,Earthquake,Ground movement,NA,China,43.469,119.558,2006,11,3,2006,11,3,NA,291
2006,Hydrological,Flood,Flash flood,NA,China,24.66,102.18,2006,7,20,2006,7,21,35,NA
2006,Hydrological,Flood,Flash flood,NA,China,34.7,102.68,2006,8,30,2006,8,31,15,NA
2006,Hydrological,Flood,Riverine flood,NA,China,26.92,106.58,2006,4,21,2006,5,15,22,36000
2006,Hydrological,Flood,Riverine flood,NA,China,30.92,112.9,2006,5,24,2006,5,31,3,NA
2006,Hydrological,Flood,Riverine flood,NA,China,26.2,112.75,2006,6,13,2006,6,16,2,NA
2006,Hydrological,Flood,Riverine flood,NA,China,24.73,116.87,2006,6,17,2006,6,19,23,NA
2006,Hydrological,Flood,Riverine flood,NA,China,26.01,108.45,2006,6,25,2006,6,26,6,6500
2006,Hydrological,Flood,Riverine flood,NA,China,47.73,128.9,2006,7,11,2006,7,13,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,China,22.35,109.4,2006,7,7,2006,7,11,10,31000
2006,Hydrological,Flood,Riverine flood,NA,China,39.04,106.59,2006,7,14,2006,7,17,1,NA
2006,Geophysical,Earthquake,Ground movement,NA,Algeria,36.623,5.328,2006,3,20,2006,3,20,4,NA
2006,Hydrological,Flood,Riverine flood,NA,Algeria,27.67,-5.91,2006,2,10,2006,2,15,1,1200
2006,Geophysical,Volcanic activity,Ash fall,NA,Ecuador,-1.467,-78.442,2006,5,10,2006,5,23,NA,NA
2006,Geophysical,Volcanic activity,Ash fall,NA,Ecuador,-1.467,-78.442,2006,7,14,2006,8,17,5,150000
2006,Hydrological,Flood,Riverine flood,NA,Spain,41.65,-7.87,2006,10,22,2006,11,8,NA,NA
2006,Hydrological,Flood,Flash flood,NA,Ethiopia,9.67,42.19,2006,8,5,2006,8,8,498,3200
2006,Hydrological,Flood,Riverine flood,NA,Ethiopia,10.99,41.63,2006,4,9,2006,4,25,NA,NA
2006,Hydrological,Flood,Riverine flood,NA,Ethiopia,5.24,36.22,2006,8,13,2006,9,11,364,NA
2006,Hydrological,Flood,Riverine flood,NA,Ethiopia,13.21,34.76,2006,8,13,2006,9,26,2,NA
2006,Hydrological,Flood,Riverine flood,NA,Ethiopia,4.62,44.6,2006,10,27,2006,12,18,80,NA
2006,Hydrological,Flood,Riverine flood,NA,Guyana,6.89,-58.66,2006,1,8,2006,2,14,NA,169000
2006,Hydrological,Flood,Flash flood,NA,Haiti,18.5,-73.48,2006,11,28,2006,12,1,11,NA
2006,Geophysical,Earthquake,Ground movement,NA,Indonesia,-7.961,110.446,2006,5,26,2006,5,26,5778,3100000
2006,Geophysical,Earthquake,Ground movement,NA,Indonesia,-8.261,118.753,2006,12,1,2006,12,1,1,NA
2006,Geophysical,Earthquake,Tsunami,NA,Indonesia,-9.284,107.419,2006,7,17,2006,7,17,802,55000
2006,Hydrological,Flood,Riverine flood,NA,Indonesia,0.55,123.01,2006,6,23,2006,6,27,NA,NA
2006,Hydrological,Landslide,Landslide,NA,Indonesia,-8.02,113.34,2006,1,1,2006,1,4,156,27000
2006,Hydrological,Landslide,Landslide,NA,Indonesia,-8.44,117.29,2006,1,22,2006,1,27,11,10943
2006,Hydrological,Flood,Flash flood,NA,India,17.43,82.81,2006,4,15,2006,4,18,20,NA
2006,Hydrological,Flood,Riverine flood,NA,India,26.6,94.02,2006,5,31,2006,7,24,21,NA
2006,Hydrological,Flood,Riverine flood,NA,India,10.54,76.05,2006,5,25,2006,6,2,32,NA
2006,Hydrological,Flood,Riverine flood,NA,India,18.73,75.23,2006,5,31,2006,6,4,41,NA
